efta,justice_gov_url,dataset,original_size,scan_size,diff_bytes,diff_pct,content_type,ocr_text
EFTA02702723,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02702723.pdf,11,344834,4816,-340018,-98.60,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA02702723&efta_number=EFTA02702723
EFTA01656426,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01656426.pdf,10,405027,81094,-323933,-79.98,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01656426&efta_number=EFTA01656426
EFTA01329795,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01329795.pdf,10,77844782,77523149,-321633,-0.41,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01329795&efta_number=EFTA01329795
EFTA00061927,https://www.justice.gov/epstein/files/DataSet%209/EFTA00061927.pdf,9,4076534,4397810,321276,7.88,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00061927&efta_number=EFTA00061927
EFTA00100894,https://www.justice.gov/epstein/files/DataSet%209/EFTA00100894.pdf,9,399324,81034,-318290,-79.71,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00100894&efta_number=EFTA00100894
EFTA01808512,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01808512.pdf,10,331705,13762,-317943,-95.85,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01808512&efta_number=EFTA01808512
EFTA01595652,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01595652.pdf,10,28166330,27858051,-308279,-1.09,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01595652&efta_number=EFTA01595652
EFTA00052963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00052963.pdf,9,92086689,91782785,-303904,-0.33,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00052963&efta_number=EFTA00052963
EFTA01145416,https://www.justice.gov/epstein/files/DataSet%209/EFTA01145416.pdf,9,491766,191085,-300681,-61.14,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01145416&efta_number=EFTA01145416
EFTA01195666,https://www.justice.gov/epstein/files/DataSet%209/EFTA01195666.pdf,9,363943,63328,-300615,-82.60,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01195666&efta_number=EFTA01195666
