efta,dataset,url,verify_status,verify_content_type,verify_content_length,verdict,original_cl,original_lm
EFTA00274444,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00274444.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01179589,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01179589.pdf,404,text/html,20,REMOVED,464,
EFTA01229239,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01229239.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01170550,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01170550.pdf,404,text/html,20,REMOVED,464,
EFTA00518978,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00518978.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01154301,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01154301.pdf,200,application/pdf,109065,LIVE,464,
EFTA01179404,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01179404.pdf,404,text/html,20,REMOVED,464,
EFTA01154969,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01154969.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01242133,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01242133.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01228512,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01228512.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01236838,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01236838.pdf,404,text/html,20,REMOVED,462,
EFTA00817978,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00817978.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01170034,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01170034.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00787253,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00787253.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01166854,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01166854.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01169537,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01169537.pdf,404,text/html,20,REMOVED,464,
EFTA01232851,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01232851.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01229007,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01229007.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01200105,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01200105.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01156409,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01156409.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00787083,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00787083.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA02160447,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA02160447.pdf,404,text/html,20,REMOVED,465,
EFTA01241384,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01241384.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
