document_id,dataset,pages,verification_url,url_type,notes
DOJ-OGR-00000731,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000731.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000732,99,4,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000732.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000736,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000736.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000737,99,4,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000737.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000741,99,4,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000741.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000745,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000745.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000746,99,10,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000746.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000756,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000756.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000757,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000757.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000759,99,2,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000759.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000761,99,4,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000761.jpg,archive_org_page_image,DOJ First Production page image
DOJ-OGR-00000765,99,1,https://archive.org/download/doj_epstein_files_first_production/Prod%2001_20250822/VOL00001/IMAGES/IMAGES001/DOJ-OGR-00000765.jpg,archive_org_page_image,DOJ First Production page image
